code,type,2012,2013,2014,2015,2016,same text over time?
32 06 02,sub-program,,,,,საგანმანათლებლო და სამეცნიერო დაწესებულებათა ინფრასტრუქტურის განვითარება,true
32 06 02 01,sub-sub-program,,,,,ზოგადსაგანმანათლებლო დაწესებულებების ინფრასტრუქტურის განვითარება,true
32 06 02 02,sub-sub-program,,,,,პროფესიული საგანანმანათლებლო დაწესებულებების ინფრასტრუქტურის განვითარება,true
32 06 02 03,sub-sub-program,,,,,უმაღლესი და  სამეცნიერო დაწესებულებების ინფრასტრუქტურის განვითარება,true
32 06 02 04,sub-sub-program,,,,,სამინისტროს სისტემაში შემავალი საჯარო სამართლის იურიდიული პირებისა და ტერიტორიული ორგანოების  ინფრასტრუქტურის განვითარება,true
32 07,program,,,,,ათასწლეულის გამოწვევა საქართველოს,true
33 00,spending agency,საქართველოს კულტურისა და ძეგლთა დაცვის სამინისტრო,საქართველოს კულტურისა და ძეგლთა დაცვის სამინისტრო,საქართველოს კულტურისა და ძეგლთა დაცვის სამინისტრო,საქართველოს კულტურისა და ძეგლთა დაცვის სამინისტრო,საქართველოს კულტურისა და ძეგლთა დაცვის სამინისტრო,true
33 01,program,საქართველოს კულტურისა და ძეგლთა დაცვის სფეროში პოლიტიკის შემუშავება და პროგრამების მართვა,საქართველოს კულტურისა და ძეგლთა დაცვის სფეროში პოლიტიკის შემუშავება და პროგრამების მართვა,საქართველოს კულტურისა და ძეგლთა დაცვის სფეროში პოლიტიკის შემუშავება და პროგრამების მართვა,საქართველოს კულტურისა და ძეგლთა დაცვის სფეროში პოლიტიკის შემუშავება და პროგრამების მართვა,კულტურისა და ძეგლთა დაცვის სფეროში პოლიტიკის შემუშავება და პროგრამების მართვა,false
33 02,program,ხელოვნების დარგების განვითარების ხელშეწყობა და პოპულარიზაცია საქართველოში და მისი ფარგლებს გარეთ,ხელოვნების დარგების განვითარების ხელშეწყობა და პოპულარიზაცია საქართველოში და მის ფარგლებს გარეთ,ხელოვნების დარგების განვითარების ხელშეწყობა და პოპულარიზაცია საქართველოში და მის ფარგლებს გარეთ,ხელოვნების დარგების განვითარების ხელშეწყობა და პოპულარიზაცია საქართველოში და მის ფარგლებს გარეთ,ხელოვნების დარგების განვითარების ხელშეწყობა და პოპულარიზაცია საქართველოში და მის ფარგლებს გარეთ,false
33 02 01,sub-program,ხელოვნების განვითარების ღონისძიებები,ხელოვნების განვითარების ღონისძიებები,,,,true
33 02 02,sub-program,საერთაშორისო კულტურული ურთიერთობების მხარდაჭერის ღონისძიებები,საერთაშორისო კულტურული ურთიერთობების მხარდაჭერის ღონისძიებები,,,,true
33 02 03,sub-program,სახალხო არტისტების სახალხო მხატვრებისა და ლაურეატების სტიპენდიები,სახალხო არტისტების სახალხო მხატვრებისა და ლაურეატების სტიპენდიები,,,,true
33 03,program,სახელოვნებო განათლების სისტემის ხელშეწყობა,სახელოვნებო განათლების სისტემის ხელშეწყობა,სახელოვნებო განათლების სისტემის ხელშეწყობა,სახელოვნებო განათლების სისტემის ხელშეწყობა,სახელოვნებო განათლების სისტემის ხელშეწყობა,true
33 04,program,კულტურული მემკვიდრეობის დაცვა და სამუზეუმო სისტემის სრულყოფა,კულტურული მემკვიდრეობის დაცვა და სამუზეუმო სისტემის სრულყოფა,კულტურული მემკვიდრეობის დაცვა და სამუზეუმო სისტემის სრულყოფა,კულტურული მემკვიდრეობის დაცვა და სამუზეუმო სისტემის სრულყოფა,კულტურული მემკვიდრეობის დაცვა და სამუზეუმო სისტემის სრულყოფა,true
33 04 01,sub-program,მუზეუმების ხელშეწყობა,მუზეუმების ხელშეწყობა,მუზეუმების ხელშეწყობა,მუზეუმების ხელშეწყობა,მუზეუმების ხელშეწყობა,true
33 04 02,sub-program,კულტურული მემკვიდრეობის დაცვა,კულტურული მემკვიდრეობის დაცვა,კულტურული მემკვიდრეობის დაცვა,კულტურული მემკვიდრეობის დაცვა,კულტურული მემკვიდრეობის დაცვა,true
33 05,program,,კულტურის სფეროს მდგრადობის უზრუნველყოფის და ფინანსური ძლიერების პროგრამა,კულტურის სფეროს მდგრადობის უზრუნველყოფის და ფინანსური ძლიერების პროგრამა,,,true
33 05 01,sub-program,,კულტურის სფეროს ფინანსური გაძლიერების პროგრამა,კულტურის სფეროს ფინანსური გაძლიერების პროგრამა,,,true
33 05 02,sub-program,,კულტურის სფეროს მდგრადობის უზრუნველყოფის საინვესტიციო ფონდი,კულტურის სფეროს მდგრადობის უზრუნველყოფის საინვესტიციო ფონდი,,,true
34 00,spending agency,საქართველოს ოკუპირებული ტერიტორიებიდან იძულებით გადაადგილებულ პირთა განსახლებისა და ლტოლვილთა სამინისტრო,საქართველოს ოკუპირებული ტერიტორიებიდან იძულებით გადაადგილებულ პირთა განსახლებისა და ლტოლვილთა სამინისტრო,"საქართველოს ოკუპირებული ტერიტორიებიდან იძულებით  გადაადგილებულ პირთა, განსახლებისა და ლტოლვილთა სამინისტრო","საქართველოს ოკუპირებული ტერიტორიებიდან იძულებით  გადაადგილებულ პირთა, განსახლებისა და ლტოლვილთა სამინისტრო","საქართველოს ოკუპირებული ტერიტორიებიდან იძულებით  გადაადგილებულ პირთა, განსახლებისა და ლტოლვილთა სამინისტრო",false
34 01,program,იძულებით გადაადგილებულ პირთა და მიგრანტთა ხელშეწყობის მიზნით სახელმწიფო პოლიტიკის შემუშავება და პროგრამების მართვა,იძულებით გადაადგილებულ პირთა და მიგრანტთა ხელშეწყობის მიზნით სახელმწიფო პოლიტიკის შემუშავება და პროგრამების მართვა,იძულებით გადაადგილებულ პირთა და მიგრანტთა ხელშეწყობის მიზნით სახელმწიფო პოლიტიკის შემუშავება და პროგრამების მართვა,იძულებით გადაადგილებულ პირთა და მიგრანტთა ხელშეწყობის მიზნით სახელმწიფო პოლიტიკის შემუშავება და პროგრამების მართვა,იძულებით გადაადგილებულ პირთა და მიგრანტთა ხელშეწყობის მიზნით სახელმწიფო პოლიტიკის შემუშავება და პროგრამების მართვა,true
34 02,program,განსახლების ადგილებში დევნილთა შენახვა და მათი საცხოვრებელი პირობების გაუმჯობესება,განსახლების ადგილებში დევნილთა შენახვა და მათი საცხოვრებელი პირობების გაუმჯობესება,განსახლების ადგილებში დევნილთა შენახვა და მათი საცხოვრებელი პირობების გაუმჯობესება,განსახლების ადგილებში დევნილთა შენახვა და მათი საცხოვრებელი პირობების გაუმჯობესება,განსახლების ადგილებში დევნილთა შენახვა და მათი საცხოვრებელი პირობების გაუმჯობესება,true
34 03,program,,,,დევნილთა საარსებო წყაროებით უზრუნველყოფა,დევნილთა საარსებო წყაროებით უზრუნველყოფა,true
35 00,spending agency,საქართველოს შრომის ჯანმრთელობისა და სოციალური დაცვის სამინისტრო,საქართველოს შრომის ჯანმრთელობისა და სოციალური დაცვის სამინისტრო,"საქართველოს შრომის, ჯანმრთელობისა და სოციალური დაცვის სამინისტრო","საქართველოს შრომის, ჯანმრთელობისა და სოციალური დაცვის სამინისტრო","საქართველოს შრომის, ჯანმრთელობისა და სოციალური დაცვის სამინისტრო",false
35 01,program,შრომის ჯანმრთელობისა და სოციალური დაცვის პროგრამების მართვა,შრომის ჯანმრთელობისა და სოციალური დაცვის პროგრამების მართვა,"შრომის, ჯანმრთელობისა და სოციალური დაცვის პროგრამების მართვა","შრომის, ჯანმრთელობისა და სოციალური დაცვის პროგრამების მართვა","შრომის, ჯანმრთელობისა და სოციალური დაცვის პროგრამების მართვა",false
35 01 01,sub-program,შრომის ჯანმრთელობისა და სოციალური დაცვის სფეროში პოლიტიკის შემუშავება და მართვა,შრომის ჯანმრთელობისა და სოციალური დაცვის სფეროში პოლიტიკის შემუშავება და მართვა,"შრომის, ჯანმრთელობისა და სოციალური დაცვის სფეროში პოლიტიკის შემუშავება და მართვა","შრომის, ჯანმრთელობისა და სოციალური დაცვის სფეროში პოლიტიკის შემუშავება და მართვა","შრომის, ჯანმრთელობისა და სოციალური დაცვის სფეროში პოლიტიკის შემუშავება და მართვა",false
35 01 02,sub-program,სამედიცინო საქმიანობის რეგულირების პროგრამა,სამედიცინო საქმიანობის რეგულირების პროგრამა,სამედიცინო საქმიანობის რეგულირების პროგრამა,სამედიცინო საქმიანობის რეგულირების პროგრამა,სამედიცინო საქმიანობის რეგულირების პროგრამა,true
35 01 03,sub-program,დაავადებათა კონტროლისა და ეპიდემიოლოგიური უსაფრთხოების პროგრამის მართვა,დაავადებათა კონტროლისა და ეპიდემიოლოგიური უსაფრთხოების პროგრამის მართვა,დაავადებათა კონტროლისა და ეპიდემიოლოგიური უსაფრთხოების პროგრამის მართვა,დაავადებათა კონტროლისა და ეპიდემიოლოგიური უსაფრთხოების პროგრამის მართვა,დაავადებათა კონტროლისა და ეპიდემიოლოგიური უსაფრთხოების პროგრამის მართვა,true
35 01 04,sub-program,სოციალური და ჯანმრთელობის დაცვის პროგრამების მართვა,სოციალური და ჯანმრთელობის დაცვის პროგრამების მართვა,სოციალური და ჯანმრთელობის დაცვის პროგრამების მართვა,სოციალური და ჯანმრთელობის დაცვის პროგრამების მართვა,სოციალური და ჯანმრთელობის დაცვის პროგრამების მართვა,true
35 01 05,sub-program,სახელმწიფო ზრუნვის პროგრამა,სახელმწიფო ზრუნვის ადამიანით ვაჭრობის ტრეფიკინგის მსხვერპლთა დაცვა და დახმარების პროგრამა,"სახელმწიფო ზრუნვის, ადამიანით ვაჭრობის (ტრეფიკინგის) მსხვერპლთა დაცვა და დახმარების პროგრამა","სახელმწიფო ზრუნვის, ადამიანით ვაჭრობის (ტრეფიკინგის) მსხვერპლთა დაცვა და დახმარების პროგრამა","სახელმწიფო ზრუნვის, ადამიანით ვაჭრობის (ტრეფიკინგის) მსხვერპლთა დაცვა და დახმარების პროგრამა",false
35 01 06,sub-program,ადამიანით ვაჭრობის ტრეფიკინგის მსხვერპლთა დაცვა და დახმარება,სამედიცინო მედიაციის პროგრამა,სამედიცინო მედიაციის პროგრამა,სამედიცინო მედიაციის პროგრამა,სასწრაფო სამედიცინო დახმარების მართვის პროგრამა,false
35 01 07,sub-program,,ნარკომანიით დაავადებულ პირთა რეაბილიტაციის ხელშეწყობის პროგრამა,ნარკომანიით დაავადებულ პირთა რეაბილიტაციის ხელშეწყობის პროგრამა,ნარკომანიისა და ფსიქიკური ჯანმრთელობის პოლიტიკისა და პროგრამების მართვის პროგრამა,,false
35 01 08,sub-program,,,სასწრაფო სამედიცინო დახმარების პროგრამა,სასწრაფო სამედიცინო დახმარების მართვის პროგრამა,,false
35 01 12,sub-program,ნარკომანიით დაავადებულ პირთა რეაბილიტაციის ხელშეწყობის პროგრამის მართვა,,,,,true
35 02,program,სოციალური დაცვა და საპენსიო უზრუნველყოფა,სოციალური დაცვა და საპენსიო უზრუნველყოფა,სოციალური დაცვა და საპენსიო უზრუნველყოფა,სოციალური დაცვა და საპენსიო უზრუნველყოფა,მოსახლეობის სოციალური დაცვა,false
35 02 01,sub-program,საპენსიო უზრუნველყოფა,საპენსიო უზრუნველყოფა,საპენსიო უზრუნველყოფა,საპენსიო უზრუნველყოფა,მოსახლეობის საპენსიო უზრუნველყოფა,false
35 02 02,sub-program,სოციალური დახმარებები,სოციალური დახმარებები,სოციალური დახმარებები,სოციალური დახმარებები,მოსახლეობის მიზნობრივი ჯგუფების სოციალური დახმარება,false
35 02 03,sub-program,სოციალური რეაბილიტაცია და ბავშვზე ზრუნვა,სოციალური რეაბილიტაცია და ბავშვზე ზრუნვა,სოციალური რეაბილიტაცია და ბავშვზე ზრუნვა,სოციალური რეაბილიტაცია და ბავშვზე ზრუნვა,სოციალური რეაბილიტაცია და ბავშვზე ზრუნვა,true
35 02 04,sub-program,,,,,სოციალური შეღავათები მაღალმთიან დასახლებაში,true
35 02 05,sub-program,მოსახლეობის ელექტროენერგიის ვაუჩერით უზრუნველყოფა,,,,,true
35 03,program,ჯანმრთელობის დაცვის პროგრამა,ჯანმრთელობის დაცვის პროგრამა,ჯანმრთელობის დაცვის პროგრამა,ჯანმრთელობის დაცვის პროგრამა,მოსახლეობის ჯანმრთელობის დაცვა,false
35 03 01,sub-program,ჯანმრთელობის დაზღვევა,ჯანმრთელობის დაზღვევა,ჯანმრთელობის დაზღვევა,მოსახლეობის საყოველთაო ჯანმრთელობის დაცვა,მოსახლეობის საყოველთაო ჯანმრთელობის დაცვა,false
35 03 02,sub-program,საზოგადოებრივი ჯანმრთელობის დაცვა,საზოგადოებრივი ჯანმრთელობის დაცვა,მოსახლეობის საყოველთაო ჯანმრთელობის დაცვა,საზოგადოებრივი ჯანმრთელობის დაცვა,საზოგადოებრივი ჯანმრთელობის დაცვა,false
35 03 02 01,sub-sub-program,დაავადებათა ადრეული გამოვლენა და სკრინინგი,დაავადებათა ადრეული გამოვლენა და სკრინინგი,,დაავადებათა ადრეული გამოვლენა და სკრინინგი,დაავადებათა ადრეული გამოვლენა და სკრინინგი,true
35 03 02 02,sub-sub-program,იმუნიზაცია,იმუნიზაცია,,იმუნიზაცია,იმუნიზაცია,true
35 03 02 03,sub-sub-program,ეპიდზედამხედველობის პროგრამა,ეპიდზედამხედველობის პროგრამა,,ეპიდზედამხედველობის პროგრამა,ეპიდზედამხედველობა,false
35 03 02 04,sub-sub-program,უსაფრთხო სისხლი,უსაფრთხო სისხლი,,უსაფრთხო სისხლი,უსაფრთხო სისხლი,true
35 03 02 05,sub-sub-program,პროფესიულ დაავადებათა პრევენცია,პროფესიულ დაავადებათა პრევენცია,,პროფესიულ დაავადებათა პრევენცია,პროფესიულ დაავადებათა პრევენცია,true
35 03 02 06,sub-sub-program,პირველადი ჯანდაცვის რეფორმის მხარდაჭერის პროექტი (EC),ინფექციური დაავადებების მართვა,,ინფექციური დაავადებების მართვა,ინფექციური დაავადებების მართვა,false
35 03 02 07,sub-sub-program,ჯანდაცვის სექტორის განვითარების პროექტი (WB),ტუბერკულოზის მართვა,,ტუბერკულოზის მართვა,ტუბერკულოზის მართვა,false
35 03 02 08,sub-sub-program,,აივ ინფექცია შიდსი,,აივ ინფექცია/შიდსი,აივ ინფექცია/შიდსის მართვა,false
35 03 02 09,sub-sub-program,,დედათა და ბავშვთა ჯანმრთელობა,,დედათა და ბავშვთა ჯანმრთელობა,დედათა და ბავშვთა ჯანმრთელობა,true
35 03 02 10,sub-sub-program,,ნარკომანია,,ნარკომანია,ნარკომანიით დაავადებულ პაციენტთა მკურნალობა,false
35 03 02 11,sub-sub-program,,,,ჯანმრთელობის ხელშეწყობის პროგრამა,ჯანმრთელობის ხელშეწყობა,false
35 03 02 12,sub-sub-program,,,,C ჰეპატიტის მართვა,C ჰეპატიტის მართვა,true
35 03 03,sub-program,მოსახლეობისათვის სამედიცინო მომსახურების მიწოდება პრიორიტეტულ სფეროებში,მოსახლეობისათვის სამედიცინო მომსახურების მიწოდება პრიორიტეტულ სფეროებში,საზოგადოებრივი ჯანმრთელობის დაცვა,მოსახლეობისათვის სამედიცინო მომსახურების მიწოდება პრიორიტეტულ სფეროებში,მოსახლეობისათვის სამედიცინო მომსახურების მიწოდება პრიორიტეტულ სფეროებში,false
35 03 03 01,sub-sub-program,ფსიქიკური ჯანმრთელობა,ფსიქიკური ჯანმრთელობა,დაავადებათა ადრეული გამოვლენა და სკრინინგი,ფსიქიკური ჯანმრთელობა,ფსიქიკური ჯანმრთელობა,false
35 03 03 02,sub-sub-program,ინფექციური დაავადებების მართვა,დიაბეტის მართვა,იმუნიზაცია,დიაბეტის მართვა,დიაბეტის მართვა,false
35 03 03 03,sub-sub-program,ტუბერკულოზის მართვა,ბავშვთა ონკოჰემატოლოგიური მომსახურება,ეპიდზედამხედველობის პროგრამა,ბავშვთა ონკოჰემატოლოგიური მომსახურება,ბავშვთა ონკოჰემატოლოგიური მომსახურება,false
35 03 03 04,sub-sub-program,აივ ინფექცია შიდსი,დიალიზი და თირკმლის ტრანსპლანტაცია,უსაფრთხო სისხლი,დიალიზი და თირკმლის ტრანსპლანტაცია,დიალიზი და თირკმლის ტრანსპლანტაცია,false
35 03 03 05,sub-sub-program,დედათა და ბავშვთა ჯანმრთელობა,ინკურაბელურ პაციენტთა პალიატიური მზრუნველობა,პროფესიულ დაავადებათა პრევენცია,ინკურაბელურ პაციენტთა პალიატიური მზრუნველობა,ინკურაბელურ პაციენტთა პალიატიური მზრუნველობა,false
35 03 03 06,sub-sub-program,დიაბეტის მართვა,იშვიათი დაავადებების მქონე და მუდმივ ჩანაცვლებით მკურნალობას დაქვემდებარებულ პაციენტთა მკურნალობა,ინფექციური დაავადებების მართვა,იშვიათი დაავადებების მქონე და მუდმივ ჩანაცვლებით მკურნალობას დაქვემდებარებულ პაციენტთა მკურნალობა,იშვიათი დაავადებების მქონე და მუდმივ ჩანაცვლებით მკურნალობას დაქვემდებარებულ პაციენტთა მკურნალობა,false
35 03 03 06 02,sub-sub-sub-program,,,ინფექციური დაავადებების მართვა საქართველოს შრომის ჯანმრთელობისა და სოციალური დაცვის სამინისტროს ცენტრალური აპარატი,,,true
35 03 03 07,sub-sub-program,ნარკომანია,სასწრაფო გადაუდებელი დახმარება და სამედიცინო ტრანსპორტირება,ტუბერკულოზის მართვა,სასწრაფო გადაუდებელი დახმარება და სამედიცინო ტრანსპორტირება,სასწრაფო გადაუდებელი დახმარება და სამედიცინო ტრანსპორტირება,false
35 03 03 08,sub-sub-program,ონკოლოგიურ დაავადებათა მართვა,სოფლის ექიმი,აივ ინფექცია/შიდსი,სოფლის ექიმი,სოფლის ექიმი,false
35 03 03 09,sub-sub-program,დიალიზი და თირკმლის ტრანსპლანტაცია,რეფერალური მომსახურება,დედათა და ბავშვთა ჯანმრთელობა,რეფერალური მომსახურება,რეფერალური მომსახურება,false
35 03 03 10,sub-sub-program,გულის ქირურგია,სამხედრო ძალებში გასაწვევ მოქალაქეთა სამედიცინო შემოწმება,ნარკომანია,სამხედრო ძალებში გასაწვევ მოქალაქეთა სამედიცინო შემოწმება,სამხედრო ძალებში გასაწვევ მოქალაქეთა სამედიცინო შემოწმება,false
35 03 03 11,sub-sub-program,ინკურაბელურ პაციენტთა პალიატიური მზრუნველობა,,,,,true
35 03 03 12,sub-sub-program,იშვიათი დაავადებების მქონე და მუდმივ ჩანაცვლებით მკურნალობას დაქვემდებარებულ პაციენტთა მკურნალობა,,,,,true
35 03 03 13,sub-sub-program,სასწრაფო გადაუდებელი დახმარება და სამედიცინო ტრანსპორტირება,,ყველა ფორმის ტუბერკულოზის ხარისხიან დიაგნოსტიკასა და მკურნალობაზე უნივერსალური ხელმისაწვდომობის პროგრამა,,,false
35 03 03 14,sub-sub-program,სოფლის ექიმი,,"საქართველოში აივ ინფექცია/შიდსის პრევენციის მიზნით არსებული ეროვნული რეაგირების მხარდაჭერა, აივ ინფექცია/შიდსით დაავადებულთა სიცოცხლის მაჩვენებლების გაუმჯობესება მკურნალობისა და მოვლის ღონისძიებების გაძლიერების გზით",,,false
35 03 03 15,sub-sub-program,რეფერალური მომსახურება,,,,,true
35 03 03 15 01,sub-sub-sub-program,რეფერალური მომსახურება,,,,,true
35 03 03 16,sub-sub-program,ანტირაბიული დახმარება,,,,,true
35 03 03 17,sub-sub-program,წლამდე ასაკის ბავშვთა გადაუდებელი და სტაციონარული დახმარება,,,,,true
35 03 03 18,sub-sub-program,ურგენტული მომსახურება,,,,,true
35 03 03 19,sub-sub-program,ზოგადი ამბულატორია,,,,,true
35 03 03 20,sub-sub-program,ვეტერანთა სამედიცინო მომსახურება,,,,,true
35 03 03 21,sub-sub-program,სამხედრო ძალებში გასაწვევ მოქალაქეთა სამედიცინო შემოწმება,,,,,true
35 03 04,sub-program,დიპლომისშემდგომი სამედიცინო განათლება,დიპლომისშემდგომი სამედიცინო განათლება,მოსახლეობისათვის სამედიცინო მომსახურების მიწოდება პრიორიტეტულ სფეროებში,დიპლომისშემდგომი სამედიცინო განათლება,დიპლომისშემდგომი სამედიცინო განათლება,false
35 03 04 01,sub-sub-program,,,ფსიქიკური ჯანმრთელობა,,,true
35 03 04 02,sub-sub-program,,,დიაბეტის მართვა,,,true
35 03 04 03,sub-sub-program,,,ბავშვთა ონკოჰემატოლოგიური მომსახურება,,,true
35 03 04 04,sub-sub-program,,,დიალიზი და თირკმლის ტრანსპლანტაცია,,,true
35 03 04 05,sub-sub-program,,,ინკურაბელურ პაციენტთა პალიატიური მზრუნველობა,,,true
35 03 04 06,sub-sub-program,,,იშვიათი დაავადებების მქონე და მუდმივ ჩანაცვლებით მკურნალობას დაქვემდებარებულ პაციენტთა მკურნალობა,,,true
35 03 04 07,sub-sub-program,,,სასწრაფო გადაუდებელი დახმარება და სამედიცინო ტრანსპორტირება,,,true
35 03 04 08,sub-sub-program,,,სოფლის ექიმი,,,true
35 03 04 09,sub-sub-program,,,რეფერალური მომსახურება,,,true
35 03 04 10,sub-sub-program,,,სამხედრო ძალებში გასაწვევ მოქალაქეთა სამედიცინო შემოწმება,,,true
35 03 05,sub-program,პროგრამების შესაძლო დეფიციტის დაფინანსება,მოსახლეობის საყოველთაო ჯანმრთელობის დაცვა,დიპლომისშემდგომი სამედიცინო განათლება,,,false
35 03 06,sub-program,,,"სამედიცინო მომსახურების შეუფერხებელი მიწოდების მიზნით, სამედიცინო დაწესებულებების ფინანსური ხელშეწყობის ღონისძიებები",,,true
35 03 07,sub-program,,,,,ტუბერკულოზთან ბრძოლის რეგიონალური პროგრამა (II ფაზა) (KfW),true
35 04,program,სამედიცინო დაწესებულებათა რეაბილიტაცია და აღჭურვა,სამედიცინო დაწესებულებათა რეაბილიტაცია და აღჭურვა,სამედიცინო დაწესებულებათა რეაბილიტაცია და აღჭურვა,სამედიცინო დაწესებულებათა რეაბილიტაცია და აღჭურვა,სამედიცინო დაწესებულებათა რეაბილიტაცია და აღჭურვა,true
35 05,program,,,შრომის პირობების მონიტორინგის პროგრამა,შრომისა და დასაქმების სისტემის რეფორმების პროგრამა,შრომისა და დასაქმების სისტემის რეფორმების პროგრამა,false
35 05 01,sub-program,,,,შრომისა და დასაქმების სისტემის რეფორმების პროგრამა,,true
35 06,program,,,სამუშაოს მაძიებელთა პროფესიული მომზადება-გადამზადების პროგრამა,,,true
36 00,spending agency,საქართველოს ენერგეტიკისა და ბუნებრივი რესურსების სამინისტრო,საქართველოს ენერგეტიკისა და ბუნებრივი რესურსების სამინისტრო,საქართველოს ენერგეტიკის სამინისტრო,საქართველოს ენერგეტიკის სამინისტრო,საქართველოს ენერგეტიკის სამინისტრო,false
36 01,program,ენერგეტიკისა და ბუნებრივი რესურსების სფეროში პოლიტიკის შემუშავება და მართვა,ენერგეტიკის სფეროში პოლიტიკის შემუშავება და მართვა,ენერგეტიკის სფეროში პოლიტიკის შემუშავება და მართვა,ენერგეტიკის სფეროში პოლიტიკის შემუშავება და მართვა,ენერგეტიკის სფეროში პოლიტიკის შემუშავება და მართვა,false
36 01 01,sub-program,,,ენერგეტიკის სამინისტროს აპარატი,ენერგეტიკის სფეროში პოლიტიკის გატარება,ენერგეტიკის სფეროში პოლიტიკის განხორციელება,false
36 01 02,sub-program,,,სსიპ-ნავთობისა და გაზის სახელმწიფო სააგენტო,მოსახლეობის ელექტროენერგიითა და ბუნებრივი აირით მომარაგების გაუმჯობესება,მოსახლეობის ელექტროენერგიითა და ბუნებრივი აირით მომარაგების გაუმჯობესება,false
36 01 03,sub-program,,,"მოსახლეობის ელექტროენერგიითა და ბუნებრივი აირით მომარაგების გაუმჯობესება, ელექტროგადამცემი ხაზებისა და გამანაწილებელი ინფრასტრუქტურის მშენებლობა",ყაზბეგის მუნიციპალიტეტისა და დუშეთის მუნიციპალიტეტის მაღალმთიანი სოფლების მოსახლეობისათვის მიწოდებული ბუნებრივი აირის ღირებულების ანაზღაურების ღონისძიება,ყაზბეგის მუნიციპალიტეტისა და დუშეთის მუნიციპალიტეტის მაღალმთიანი სოფლების მოსახლეობისათვის მიწოდებული ბუნებრივი აირის ღირებულების ანაზღაურების ღონისძიება,false
